Actual SR Type,Predicted,Data
LabWindows_CVI,LabWindows_CVI,COULD YOU SEND ME SOME LAB WINDOWS CVI CODE EXAMPLES (OR A LINK) FOR THE USB-6501?  I JUST BOUGHT ONE AND I DON'T KNOW THE FUNCTION CALLS FOR SETTING PORT DIRECTION AND READING AND WRITING TO THE PORT OR INDIVIDUAL IO. COULD YOU CONTACT ME WHEN YOU GET A SECOND? . ANDY BLACKWOODEATON CORPORATIONVCSBU ENGINEERING414 449 6715ANDREWJBLACKWOOD@EATON.COM LABWINDOWS/CVI  DIGITAL INPUT/OUTPUT
LabWindows_CVI,Digital_IO,"HELLO.I JUST PURCHASED AN NI USB 6501 MODULE.  I AM LOOKING FOR SOME SIMPLE LAB-WINDOWS  CVI FUNCTIONS FOR IT.  BASICALLY I WANT TO CONFIGURE THE IO, TOGGLE OUTPUTS AND READ INPUTS.  COULD YOU SEND ME A LINK TO A DOCUMENT SHOWING ME HOW TO DO THIS?  OR DO YOU HAVE ANY EXAMPLE CODE I COULD LOOK AT?PLEASE LET ME KNOW WHAT YOU THINK..ANDY BLACKWOODEATON CORP.VCSBU ENGINEERING(414)449-6715 LABWINDOWS/CVI  DIGITAL INPUT/OUTPUT"
LabWindows_CVI,LabWindows_CVI,SEND DATA OVER SERVER APPLICATION IS A STRUCTURE TYPE (DUMMYTYPE) OVER DATA SOCKETS: TYPEDEF STRUCT DUMMYTYPE{    FLOAT WAVEFORM[5000];    UNSIGNED CHAR ITEM1;    FLOAT ITEM2;} DUMMYTYPE; HOW CAN I RECEIVED ALL THE DATA ON MY CLIENT APPLICATION? FROM THE WRITERANDREADER.C SAMPLE IT READ ONLY THE WAVEFORM DATA.  HOW CAN I READ THE ITEM1 AND ITEM2 DATA? LABWINDOWS/CVI  
LabWindows_CVI,DIAdem,"1. MY PROGRAM COLLECTED, COMPILED AND PLOTTED 5 FLOATING POINT VALUES IN 5 DIFFERENT GRAPHS USING PLOTY() IN ONE WINDOW.   THE DATA WILL BE COLLECTED OVER 24 HOURS PERIOD. THERE ARE 5 ARRAYS USED TO STORE THESE DATA.  WHEN NEW DATA COME, IT WILL ADDED TO THE END OF THE ARRAY AND PASSED TO THE PLOTY() TO PLOT PERIODICALLY.  THE ARRAY ARE HUGE IN SIZE TO ACCOMMODATE STORAGE FOR 24 HOURS. ONCE THE DATA ARE COLLECTED, IT WILL BE PLOTTED IN THE SCREEN BY CALLING PLOTY() 5 TIMES FOR PLOT OF EACH VALUE.   2. MY PROGRAM DISPLAY THE 5 PLOTS OK, BUT WHEN THE NUMBER OF DATA IN THE ARRAY GET TO THE ORDER OF 140,000.  THE PLOTS SUDDENLY DISAPPEARRED WHILE THE REST OF PROGRAM STILL FUNCTION.  WITHOUT EXITING THE PROGRAM, I CAN CLICK A GUI BUTTON TO STOP THE CURRENT COLLECTION AND PLOTTING AND RESTART THE COLLECTION AND PLOTTING FROM BEGINNING.  THE PROGRAM START TO PLOT AGAIN AS IF SMALLER NUMBER OF ITEMS IN EACH ARRAY.  3. IS THERE A LIMIT OF NUMBER OF ITEMS IN THE ARRAY FOR THE PLOTY()? 4. HOW DO YOU PLOT A GRAPH WITH 800,000 SAMPLES,  DO YOU SEND THE ARRAY OF 800,000 TO PLOTY() ? . ALVIN LAM LABWINDOWS/CVI  NONE"
LabWindows_CVI,LabWindows_CVI,"THE LINE OF CODESPRINTF (TITLE, ""VERSION %S"", _TARGET_PRODUCT_VERSION_);COMPILES WITHOUT ERROR IN THE LABWINDOWS COMPILER BUT FAILS WITH THE FOLLOWING ERROR WHEN USING THE CLANG COMPILERERROR: INVALID SUFFIX '.1.5' ON FLOATING CONSTANT IS THERE A WAY TO USE THE _TARGET_PRODUCT_VERSION_ MACRO WITH THE CLANG COMPILER? LABWINDOWS/CVI  "
LabWindows_CVI,LabWindows_CVI,"I AM DEBUGGING AN ISSUE WHERE AFTER RUNNING THE PROGRAM FOR A WHILE, I GET THE ERROR MESSAGE:""NON-FATAL RUN-TIME ERROR: UNKNOWN SOURCE POSITION, THREAD ID 0X00000BA4: LIBRARY FUNCTION ERROR (RETURN VALUE == -12 [0XFFFFFFF4]). OUT OF MEMORY"" IN ORDER TO UNDERSTAND THE ISSUE I AM USING THE CVI ""RESOURCE TRACKING"" PANE TO SEE WHEN MEMORY IS ALLOCATED.  IN MY CODE, WHEN I USE THE FUNCTION: ""EASYTAB_SETTABATTRIBUTE (MAINPANEL, MAINPANEL_CANVAS, TABPANELHANDLE, ATTR_EASY_TAB_LABEL_TEXT, STRBUF);"" TO CHANGE THE TEXT ON A GUI TAB LABEL, I CAN SEE BY EXAMINING THE ""RESOURCE TRACKING"" PANE IN CVI THAT A MEMORY BLOCK EQUAL TO THE SIZE OF THE STRING IN STRBUF IS ALLOCATED. THIS FUNCTION EASYTAB_SETTABATTRIBUTE() DOES NOT RETURN A POINTER TO THE ALLOCATED MEMORY RESOURCE.  HOW CAN I FREE THE ALLOCATED MEMORY RESOURCES?  WHEN IS IT SAFE TO FREE THE MEMORY ALLOCATED BY EASYTAB_SETTABATTRIBUTE()? I.E. CAN I FREE THE MEMORY IMMEDIATELY AFTER EXECUTING THE FUNCTION, OR ONLY AFTER THE SUBSEQUENT SIMILAR CALL TO CHANGE THE TEXT ON THE TAB AGAIN?  , JAMES APOLIS  LABWINDOWS/CVI  "
LabWindows_CVI,MultifunctionDAQ,"I HAVE A QUESTION CONCERNING DAQMX. I START A DAQMX TASK AND USE THE EVERYNSAMPLESCALLBACK TO PROCESS THE DATA. PROCESSING INCLUDES READING THE DATA (DAQ MXREADANALOGF64), STORING (TDMS_APPENDDATAVALUESMULTICHANNEL) AND OTHER VARIOUS FUNCTIONS SUCH AS CHECKING LIMITS AND SETTING CURRENTS WHEN RUNNING A CURRENT PULSING APPLICATION. TO TIMESTAMP THE DATA I ADD A TIME VALUE TO THE DATA ARRAY AFTER READING. THE FIRST TIME IS 0, THE SECOND IS (0 + 1/SAMPLE RATE) THE THIRD IS (0 + 2/SAMPLE RATE) AND SO ON. THESE TIME VALUES ARE DISPLAYED ON THE FRONT PANEL AS ELAPSED TIME.  WHAT I HAVE FOUND IS THAT THE TIME TO EXECUTE EVERYNSAMPLESCALLBACK MUST BE LESS THAN THE ACQUISITION TIME. I REALIZED THIS WHILE WATCHING THE ELAPSED TIME DISPLAY AND NOTICING IT WAS WAY BEHIND THE ACTUAL RUNTIME. TIMING THE EVERYNSAMPLESCALLBACK  I SAW THAT IT WAS OFTEN TAKING LONGER THAN THE ACQUISITION TIME. BY REMOVING THE STRIP CHART DISPLAY I WAS ABLE TO GET EVERYNSAMPLESCALLBACK TO RUN FASTER THAN THE ACQUISITION TIME. THIS IS FINE AS LONG AS I CAN HAVE THE SAMPLES PER CHANNEL LARGE ENOUGH AND/OR THE SAMPLE RATE SLOW ENOUGH.THIS LEADS TO MY QUESTION. I HAVE AN APPLICATION IN WHICH I NEED TO PULSE A LOAD CURRENT AT FAIRLY PRECISE TIMES AND FOR FAIRLY PRECISE PERIODS. REQUIREMENTS LOCK ME INTO A 10,000 HZ SAMPLE RATE. IDEALLY, I WOULD TAKE ONE SAMPLE PER CHANNEL WHICH WOULD ALLOW FOR PRECISE TIMING. UNFORTUNATELY, THIS CAUSES THE ACQUISITION TO RUN MUCH TOO FAST. WITH MULTIPLE SAMPLES THE TIME TO PULSE CAN BE ANYWHERE IN THE BUFFER AND THE PROGRAM CANT KNOW THAT UNTIL IT READS THE DATA.ASSUMING THERE IS NO WAY TO TAKE ONLY ONE SAMPLE HOW CAN I ENSURE THAT THE PULSING OCCURS AT THE RIGHT TIME?I HAVE FOUND A COUPLE POSSIBLE SOLUTIONS (ARBITRARY WAVEFORM GENERATOR AND THREAD SAFE QUEUES) BUT WOULD LIKE TO DISCUSS POSSIBLE METHODS.GARY LOEBER LABWINDOWS/CVI  "
LabWindows_CVI,LabWindows_CVI,"MY DOCUMENTATION IN THE HELP FILE SAYS THIS: EVENTFUNCTION VOID * SPECIFIES THE NAME OF THE USER FUNCTION THAT PROCESSES THE CALLBACK. THIS EVENT FUNCTION (TYPE ASYNCTIMERCALLBACKPTR) TAKES THE SAME FORM AS THE TIMER CALLBACK FUNCTION: INT CVICALLBACK FUNCTIONNAME (INT RESERVED, INT TIMERID, INT EVENT, VOID *CALLBACKDATA, INT EVENTDATA1, INT EVENTDATA2); THE FIRST PARAMETER OF THE EVENT FUNCTION IS RESERVED. TIMERID IS THE TIMER THAT CAUSED THE CALLBACK. THE TYPES OF EVENTS GENERATED ARE EVENT_TIMER_TICK AND EVENT_DISCARD. EVENTDATA1 IS A POINTER TO A DOUBLE THAT REPRESENTS THE CURRENT TIME IN SECONDS AND IS RELATIVE TO THE START OF THE FIRST TIMER EVENT. EVENTDATA2 IS A POINTER TO A DOUBLE THAT REPRESENTS THE TIME THAT HAS ELAPSED SINCE THE LAST CALL TO THE TIMER CALLBACK. THE ELAPSED TIME IS SET TO ZERO IF THE CALLBACK HAS NOT BEEN CALLED PREVIOUSLY. THE RESOLUTION OF EVENTDATA1 AND EVENTDATA2 MATCHES THE RESOLUTION OF THE ASYNCHRONOUS TIMER. CALLBACK DATA DEFINED BY THE USER ALSO IS PASSED TO THE EVENT FUNCTION.  THE PROBLEM IS THAT WHILE THE DOCUMENTATION THINKS EVENTDATA1 AND EVENTDATA2 ARE POINTERS TO DOUBLES, THE PROTOTYPE SPECIFIED SHOWS THEM AS THE INT DATATYPE.  WHICH IS IT? LABWINDOWS/CVI  NONE"
LabWindows_CVI,LabWindows_CVI,"IF I BUILD USING LABWINDOWSCVI 2010 SP1 WILL THE RESULTING EXECUTABLE (INSTALLED VIA THE DISTRIBUTION KIT) WORK ON WINDOWS 95, WINDOWS XP, AND WINDOWS 7 ... REGARDLESS OF WHAT VERSION OF WINDOWS I BUILD THE EXE AND DISTRIBUTION KIT ON? IF NOT, WHAT VERSION OF LABWINDOWSCVI IS THE ""LATEST"" I CAN USE IN ORDER TO PRODUCE AN EXE/DK THAT WILL RUN ON WINDOWS 95?DO I HAVE TO BUILD THE EXE/DK ON A WINDOWS 95 PC OR CAN IT BE BUILT ON A NEWER VERSION OF WINDOWS AND BE BACKWARD COMPATIBLE WITH WINDOWS 95. SORRY, WE HAVE SOME OLD TEST BENCHES WE MUST SUPPORT AND UPGRADING THEM IS HARDER THAN JUST LEAVING THEM WINDOWS 95. LABWINDOWS/CVI  "
LabWindows_CVI,MStudioDotNet,"THE NI LIBRARY IS RETURNING A DDCERROR OF CODE -6211; I THINK THIS COULD BE A MEMORY ERROR, BECAUSE THE FILE IS QUITE LARGE, BUT I AM NOT SURE. IN THE OUTPUT BELOW, THE DLL-S LOAD, BUT THERE IS A MEMORY ERROR. ANY IDEAS?  'NICONSOLE.EXE': LOADED 'Y:\VISUAL STUDIO 2008\PROJECTS\NICONSOLE\DEBUG\USIEX.DLL''NICONSOLE.EXE': LOADED 'Y:\VISUAL STUDIO 2008\PROJECTS\NICONSOLE\DEBUG\XERCES-C_2_8_USI.DLL''NICONSOLE.EXE': LOADED 'Y:\VISUAL STUDIO 2008\PROJECTS\NICONSOLE\DEBUG\STLPORT.5.0.DLL''NICONSOLE.EXE': LOADED 'Y:\VISUAL STUDIO 2008\PROJECTS\NICONSOLE\DEBUG\DACASR.DLL''NICONSOLE.EXE': LOADED 'Y:\VISUAL STUDIO 2008\PROJECTS\NICONSOLE\DEBUG\UDS.DLL''NICONSOLE.EXE': LOADED 'Y:\VISUAL STUDIO 2008\PROJECTS\NICONSOLE\DEBUG\USIPLUGINTDM.DLL''NICONSOLE.EXE': LOADED 'Y:\VISUAL STUDIO 2008\PROJECTS\NICONSOLE\DEBUG\USPTDMS.DLL''NICONSOLE.EXE': LOADED 'Y:\VISUAL STUDIO 2008\PROJECTS\NICONSOLE\DEBUG\TDMS_EBD.DLL'FIRST-CHANCE EXCEPTION AT 0X7C812AFB IN NICONSOLE.EXE: MICROSOFT C++EXCEPTION: STD::BAD_ALLOC AT MEMORY LOCATION 0X0012E82C..ERROR: UNHANDLED EXCEPTION IN INITIALIZE FIRST-CHANCE EXCEPTION AT 0X7C812AFB IN NICONSOLE.EXE: MICROSOFT C++EXCEPTION: DATACACHE::TOINTMSGDA AT MEMORY LOCATION 0X0012ED10..FIRST-CHANCE EXCEPTION AT 0X7C812AFB IN NICONSOLE.EXE: MICROSOFT C++EXCEPTION: NI::USI::EXCEPTIONUSERMSG AT MEMORY LOCATION 0X0012EDD0..'NICONSOLE.EXE': UNLOADED 'Y:\VISUAL STUDIO 2008\PROJECTS\NICONSOLE\DEBUG\TDMS_EBD.DLL''NICONSOLE.EXE': UNLOADED 'Y:\VISUAL STUDIO 2008\PROJECTS\NICONSOLE\DEBUG\USPTDMS.DLL''NICONSOLE.EXE': UNLOADED 'Y:\VISUAL STUDIO 2008\PROJECTS\NICONSOLE\DEBUG\USIPLUGINTDM.DLL'FIRST-CHANCE EXCEPTION AT 0X7C812AFB IN NICONSOLE.EXE: MICROSOFT C++EXCEPTION: DDCERROR AT MEMORY LOCATION 0X0012F07C..  LABVIEW  OTHER"
LabWindows_CVI,LVDSC,"TESTING.INI FORMAT==================[SECTION 1] TAG 1 = ""STRING VALUE 1"" TAG 2 = ""STRING VALUE 2"" TAG 3 = 53  [SECTION 2] TAG 1 = TRUE TAG 2 = 12TAG 3 = 12.5 CODE SECTION============	INITEXT INITEXT; 	CHAR PATHNAME[MAX_PATHNAME_LEN]; 	CHAR DIRNAME[MAX_PATHNAME_LEN]; 	CHAR *STR1, *STR2; 	INT INTVAL, BOOLVAL; 	UNSIGNED INT UINTVAL; 	FLOAT DATA;	INT DATASIZE = SIZEOF(DATA); 	/* SET UP THE PATHNAME FOR THE .INI FILE */ 	GETPROJECTDIR (DIRNAME); 	MAKEPATHNAME (DIRNAME, ""MYCONFIG.INI"", PATHNAME);  	/* CREATE OBJECT FOR HOLDING THE VALUE/TAG PAIRS */ 	INITEXT = INI_NEW (TRUE); /* TRUE FOR AUTOMATIC SORTING */  	/* READ IN THE TAG/VALUE PAIRS */ 	INI_READFROMFILE (INITEXT, PATHNAME);  	/* CREATE THE IN-MEMORY TAG/VALUE PAIRS */ 	INI_GETSTRINGCOPY (INITEXT, ""SECTION 1"", ""TAG 1"", &AMP;STR1;); 	INI_GETSTRINGCOPY (INITEXT, ""SECTION 1"", ""TAG 2"", &AMP;STR2;); 	INI_GETINT        (INITEXT, ""SECTION 1"", ""TAG 3"", &AMP;INTVAL;);  	INTVAL = 0;	INI_GETBOOLEAN(INITEXT, ""SECTION 2"", ""TAG 1"", &AMP;BOOLVAL;); 	INI_GETINT 	  (INITEXT, ""SECTION 2"", ""TAG 2"", &AMP;INTVAL;); 	INI_GETINT 	  (INITEXT, ""SECTION 2"", ""TAG 3"", &AMP;INTVAL;);   HOW DO I READ CORRECT VALUE FOR FLOAT UNDER ""SECTION 2"" AND ""TAG 3"" AS FLOAT TYPE?  THE CURRENT CODE RETURN INCORRECT VALUE. LABWINDOWS/CVI  NONE"
LabWindows_CVI,LabWindows_CVI,"ON THE PROJECT'S MAIN WINDOW, UNDER EDIT, UNDER FIND IN FILES, THE POP UP WINDOW THAT OPENS UP HAS A LIST OF FILES IN THE ADDITIONAL FILES WINDOW.SOME FILES BELONG TO MY RPOJECT, OTHER FILES BELONG TO CVI, LIKE USERINT.H, CVIDEF.H, ETC, BUT THERE ARE OTHER FILES WHICH ARE NOT IN MY PROJECT. HOW DO I DELETE THESE FILES FROM THIS LIST? SO THE LIST BECOMES MORE EASILY MANAGEABLE?? LABWINDOWS/CVI  "
LabWindows_CVI,LabWindows_CVI,"HELLO, I'VE BEEN ASKED TO CHECK IN WITH YOU AND VERIFY IF YOU NOW HAD A VERSION OF NI SPY THAT WORKS ON WINDOWS 7 64-BIT SO THAT WE COULD PROCEED TO DEBUG OUR INITIAL XMODEM FILE TRANSFER PROBLEM FROM AN ARM LINUX DEVICE TO A CVI WINDOWS CLIENT (TEXT LOG FILES ABOUT 4MB IN SIZE OVER A COM SERIAL PORT). ,  BERTRAND SZOGHY |  LINUX DEVELOPER, R&AMP;D; TEAM QUALITROL® LLC, 1415 FRANK CARREL, QUÉBEC, QC, G1N 4N7, CANADAEMAIL: BSZOGHY@QUALITROLCORP.COM   |  WEB: WWW.QUALITROLCORP.COM   LABWINDOWS/CVI  "
LabWindows_CVI,LabWindows_CVI,"I AM TESTING SERVER AND CLIENT APPLICATIONS TYPE USING DATA-SOCKETS ON TWO DIFFERENT COMPUTERS (ATTACHED ZIP FILES).  THE ""TEST DATASOCKET SIMPLE CS FP V3.VI"" IS IN LABVIEW ENVIRONMENT AND  TESTDATASOCKETS IS LABWINDOWS APPLICATION.  TESTDATASOCKETS NEEDS TO START FIRST BECAUSE IT INITIAL THE DATA-SOCKETS SERVER.  TESTDATASOCKETS GET ERROR ERROR ""A NON-DEBUGGABLE THREAD ...."" EVERY TIME DATA RECEIVE CALLBACK FUNCTION GET CALL (ERRORS SNAP-SHOT ATTACHED).   I COULD NOT FIGURE OUT WHY THIS MESSAGE KEEP POP-UP  LABWINDOWS/CVI  "
LabWindows_CVI,LabWindows_CVI,I RECEIVED THE LATEST NI SOFTWARE WITH MY SUPPORT LICENSE.  I WANTED THE 2009 DEVELOPER SUITE SO I DOWNLOADED IT.  WHEN I RAN SETUP.EXE I RECEIVED THIS ERROR MESSAGE:DEVELOPER ERROR: THE FOLLOWING ERRORS WERE FOUND IN YOUR INI FILE:1. SPECIFIED FILE NOT FOUND: [MSIENGINE] WINNTPATH = SUPPORTFILES\WINDOWSINSTALLER-KB893803-V2-X86.INI.  CORRECT THE INI FILE AND TRY AGAIN. THE DETAILS BUTTON OFFERED THIS ADDITIONAL TEXT:.\CONFIGINFO.CPP(2946): IINSTALLERERROR 11006 LABWINDOWS/CVI  NONE
LabWindows_CVI,LabWindows_CVI,PROBLEM DESCRIPTION DATA SOCKET WRITE CLUSTER DATA BETWEEN LABVIEW AND LABWINDOWS WONT RECOGNIZE.  LABWINDOWS RECEIVED DATA AS CAVT_EMPTY (INCORRECT DATA TYPE) IN BOTH BUNDLE AND UNBUNDLE CLUSTER DATA TYPE. SOFTWARE VERSION 1.	LABWINDOWS/CVI 20102.	LABVIEW 2011 SP13.	WINDOWS XP WITH ALL THE LATEST SERVICE PACKS  I CREATED THREE DIFFERENT TEST APPLICATIONS FOR LABVIEW (2) AND LABWINDOWS (1).  THE LABVIEW APPLICATION AS SERVER APPLICATION IS SENDING CLUSTER DATA USING DATA-SOCKETS TO LABWINDOWS APPLICATION IS CLIENT APPLICATION.   THE CLIENT APPLICATION IS RECEIVING DATA BUT THE DATA TYPE IS NOT CORRECT (CAVT_EMPTY).  HOW TO SEND CLUSTER DATA USING DATA-SOCKET BETWEEN LABVIEW AND CVI APPLICATION?  ATTACHMENT FILES: 1.	DS CLUSTER DATA TYPE UNBUNDLE.VI2.	DS CLUSTER DATA TYPE BUNDLE.VI3.	TESTDATASOCKETS CVI PROJECT LABWINDOWS/CVI  
LabWindows_CVI,LabWindows_CVI,"PROBLEM NON-FATAL RUN-TIME ERROR WHEN RUN DATA-SOCKET LABWINDOW  APPLICATION. DESCRIPTION I HAVE TWO APPLICATIONS ARE USING DATA-SOCKETS IN MIX DEVELOPMENT ENVIRONMENT.  THE DSWRITESTRINGCLUSTERERRORDISPLAY.VI IS LABVIEW APPLICATION ACT AS SERVER. IT IS WRITING STRING TO THE DATA-SOCKET. THE TESTDATASOCKETS IS LABWINDOWS APPLICATION, WHICH IS READING THE DATA FROM THE LABVIEW APPLICATION.  I STARTED THE LABVIEW APPLICATION FIRST SO IT COULD BRING UP THE NI DATA-SOCKET SERVER TOOL AND SENDING THE DATA. I GOT THE NON-FATAL RUN-TIME ERROR WHEN START THE LABWINDOW APPLICATION.  NOTE: SAMPLE CODE DUPLICATE PROBLEM IS ATTACHED LABWINDOWS/CVI  "
LabWindows_CVI,LabWindows_CVI,"I'M EXPERIMENTING WITH THE FILESELECTPOPUP() FUNCTION, AND I'M WONDERING HOW I'M SUPPOSED TO HANDLE THE SITUATION WHERE THE USER WISHES TO CREATE A NEW FILE.  IT APPEARS THE FUNCTION IS INADEQUATE IN THIS REGARD, AS IT SEEMS TO REQUIRE THE FILE BE ALREADY IN EXISTENCE OR THE USER CANCEL THE REQUEST. ...EVEN THOUGH IT'LL RETURN VAL_NEW_FILE_SELECTED??  IT DOESN'T MAKE SENSE TO ME HOW TO USE IT, AND THUS FAR MY SEARCHES OF THE NI WEBSITE HAVE RETURNED NOTHING USEFUL ON THE MATTER. LABWINDOWS/CVI  "
LabWindows_CVI,LabWindows_CVI,"I'M TRYING TO BUILD A DISTRIBUTION OUT OF LABWINDOWS/CVI 2010 WITH THE SQL TOOLKIT THAT SAVES DATA ON A NETWORKED SQL DATABASE.  IT WORKS ON MY DEVELOPMENT PC (WINDOWS 7) BUT WON'T WORK ON A PC THAT DOESN'T HAVE LABWINDOWS/CVI LOADED.  I TRIED TO FOLLOW THE ""DISTRIBUTING AN SQL TOOLKIT EXECUTABLE OR DLL"" HELP ON YOUR WEBSITE UNSUCESSFULLY (NOT REALLY SURE WHAT TO DO WITH CVISQLSHARED.MSM - I PUT IT IN THE SAME DIRECTORY ON THE TARGET MACHINE, PUT THE OTHER 2 FILES IN THE TARGET INSTALL DIRECTORY AND BELIEVE I SET UP THE .EXE TO RUN AFTER INSTALLATION).  I'M NOT EVEN IF THE HELP APPLIES TO THE VERSION OF LABWINDOWS I'M USING.  THE SYMPTOM IS THE CALL TO DBCONNECT RETURNS A -100.  I HAVE THE ODBC INTERFACE SET UP CORRECTLY ON THE TARGET PC.  IT SUCCESSFULLY ACCESSES THE DATABASE.  ANY ASSISTANCE WOULD BE APPRECIATED. LABWINDOWS/CVI  "
LabWindows_CVI,TestStand,"HELLO, I LAUNCH A UIR IN A SEPARATE THREAD AT THE BEGINNING OF A TESTSTAND SEQUENCE.  THE MAIN THREAD WILL UPDATE A STRIP CHART ON THE UIR FOR DIFFERENT TEMPERATURE CYCLES.  THE EXECUTION BREAKS ON PLOTSTRIPCHART()....WITH NO BREAKPOINT SET. IT CONTINUES WHEN I HIT GO. THIS ONLY HAPPENS WHEN THE MAIN THREAD TRANSISTIONS BETWEEN DIFFERENT TEMPERATURE SEQUENCES.  THIS IS THE UIR CALLBACK FOR PLOTING THE STRIP CHART WHICH IS WHICH BREAKS WHILE RUNNING (IT IS TIMER ENABLED).  IT CONTINUES AS NORMAL WHEN I HIT ""GO"" CASE EVENT_TIMER_TICK:IF (!GEXITING) {GETCTRLVAL (ESSPANELHANDLE, ESS_PANEL_CURR_TEMP, &AMP;DTEMPERATURE;);PLOTSTRIPCHART (ESSPANELHANDLE, ESS_PANEL_CHAMBER_TEMP,&AMP;DTEMPERATURE;, 1, 0, 0, VAL_DOUBLE); }BREAK;  ,LINDA TESTSTAND  NONE"
LabWindows_CVI,LabWindows_CVI,"DESCRIPTION: WE HAVE DEVELOPED A DATA ACCQUISITION SYSTEM IN THE LABWINDOWS CVI 9.0 RTOS. WE THEN ATTEMPTED TO MOVE TO CVI 2010 RTOS. WE FOUND THAT OUR SYSTEM COULD NOT PREFORM THE SAME AS IT COULD IN CVI 9.0 RT. IT APPEARS THAT THE FUNCTION CMTSCHEDULETHREADPOOLFUNCTION TO CREATE A LAUNCH A THREAD NOW TAKES A CONSIDERABLE (AND VARIABLE AMOUNT) OF TIME TO COMPLETE AND ACTUALLY LAUNCH THE THREAD. WE WROTE A SMALL PROGRAM TO TEST THIS (SEE ATTACHED THREADTEST.C) AND RAN IT ON OUR 9.0 PLATFORM AND ALSO ON THE 2010 AND ON THE 2012BETA VERSIONS OF THE RT OS. WHEN RUNNING THIS PROGRAM ON THE 9.0 SYSTEM WE SAW OUR THREAD LAUNCHED WITH ARROUND 10US. WHEN RUNNING THIS SAME TEST ON THE SAME HW (WITH THE CVI 2012SP1 RTOS INSTALLED ON IT) WE FOUND THAT THE THREADS LAUNCHED WITHIN AND AVERAGE OF 20MS. WE FOUND ON CVI 2010 AND 2012BETA THAT FOR 4 TIMES THE THREAD WOULD LAUNCH WITHIN 4MS AND THEN THE 5TH TIME IT WOULD TAKE ARROUND 85MS TO LAUNCH. THIS DOES NOT WORK FOR US AS WE ARE TRYING TO RUN 2MS THREADS IN THIS SYSTEM, AND WE NEED DETERMINISTIC BEHAVIOR.STEPS TO REPRODUCE: SEE ATTACHED EXAMPLE PROGRAM. THIS PROGRAM WILL PRINT OUT TO THE SCREEN THE FOLLOWING THINGS WHEN COMPLETED.HOW MANY THREADS HAVE COMPLETED EXECUTION,THE DELTA TIME BETWEEN THE EXECUTION OF THE FIRST 10 THREADS (THE PROGRAM IS ATTEMPTING TO LAUNCH 1 THREAD EVERY 2MS),THE AVERAGE EXECUTION TIME BETWEEN ALL THREADS RAN IN THE TESTWORKAROUND: WE DO NOT HAVE A WORKARROUND. OUR ARCHETECTURE IS STRUCTURED ARROUND BEING ABLE TO DETERMINISTLY LAUNCH THREADS AT A 2MS RATE. THIS ISSUE IS CAUSING US TO NOT BE ABLE TO MOVE FORWARD OFF OF CVI 9.0 LABWINDOWS/CVI  OTHER"
LabWindows_CVI,LabWindows_CVI,"THE FUNCTION EXCEL_CHARTOBJECTSADD(...) FROM THE ATTACHED NI EXAMPLE ALWAYS FAILED WHEN RUN.  IT FAILED WHEN YOU PUSH ""DRAW"" BUTTON AFTER ""WRITE"" SUCCESSFUL. I COULD FIGURE OUT WHY IT DOES NOT WORK WITH THE EMBEDDED EXCEL WORKSHEET. LABWINDOWS/CVI  "
LabWindows_CVI,MultifunctionDAQ,"MY SCANNING STAGE SENDS A TTL PULSE EACH TIME IT MOVES TO A NEW POSITION, AND MY SINGLE-PHOTON COUNTING MODULE SENDS A TTL PULSE EACH TIME A PHOTON IS DETECTED.WITH LABWINDOWS, I WOULD LIKE TO MEASURE THE NUMBER OF TTL PULSES SENT BY THE SINGLE PHOTON COUNTING MODULE BETWEEN EACH TTL PULSE SENT BY THE STAGE. I HAVE A NI PCI-6229 CONNECTED TO A BNC 2090A, AND THE TTL PULSES ARE SENT VIA BNC CONNECTIONS. IS THERE ANY EXAMPLE FUNCTION THAT DOES SOMETHING SIMILAR?  VERY MUCH FOR YOUR HELP.BEST,CHRISTOPHE DUPRE LABWINDOWS/CVI  "
LabWindows_CVI,LabWindows_CVI,"I HAVE A PCI-6229, AND I WOULD LIKE TO USE PFI0 AS THE DEFAULT  INPUT TERMINAL USED FOR COUNTER MEASUREMENT. CURRENTLY, MY CODE IS: DAQMXERRCHK(DAQMXCREATECICOUNTEDGESCHAN(TASKOUT, ""DEV4/CTR0"", 		""COUNTEDGES"", DAQMX_VAL_RISING, 0, DAQMX_VAL_COUNTUP));	 AND I WOULD BASICALLY LIKE TO HAVE ""DEV4/CTR0"" REFER TO PFI0 INSTEAD OF PFI8 WHICH IS ITS DEFAULT VALUE.IS THERE ANY FUNCTION THAT COULD DO THAT? LABWINDOWS/CVI  "
LabWindows_CVI,LabWindows_CVI,I AM VISITING OUR BUSINESS SITE IN GERMANY AND I GET ERROR 1920 WHILE TRYING TO INSTALL A PROGRAM (DEVELOPED WITH CVI): ERROR 1920 - SERVICE 'NATIONAL INSTRUMENTS PSP SERVER LOCATOR' (LKCLASSADS) FAILED TO START. VERIFY THAT YOU HAVE SUFFICIENT PRIVILEGES TO START SYSTEM SERVICES. HOW DO I SOLVE THIS?  LABWINDOWS/CVI  
